. Semoga kedepan.ny semakin berkembang	5	positif	id	semoga kedepanny semakin berkembang	['semoga', 'kedepanny', 'semakin', 'berkembang']	['semoga', 'kedepannya', 'semakin', 'berkembang']	['semoga', 'kedepannya', 'berkembang']	['moga', 'depan', 'kembang']
Aplikasi tolol... Nyusahin rakyat..	1	negatif	id	aplikasi tolol nyusahin rakyat	['aplikasi', 'tolol', 'nyusahin', 'rakyat']	['aplikasi', 'tolol', 'nyusahin', 'rakyat']	['aplikasi', 'tolol', 'nyusahin', 'rakyat']	['aplikasi', 'tolol', 'nyusahin', 'rakyat']
aplikasi top,Tolong diperkuat aplikasi ,saat transaksi lancar,	4	positif	id	aplikasi toptolong diperkuat aplikasi saat transaksi lancar	['aplikasi', 'toptolong', 'diperkuat', 'aplikasi', 'saat', 'transaksi', 'lancar']	['aplikasi', 'toptolong', 'diperkuat', 'aplikasi', 'saat', 'transaksi', 'lancar']	['aplikasi', 'toptolong', 'diperkuat', 'aplikasi', 'transaksi', 'lancar']	['aplikasi', 'toptolong', 'kuat', 'aplikasi', 'transaksi', 'lancar']
Aplikasi udah okke tinggal percepat verifikasi tak kasih bintang 7	4	positif	id	aplikasi udah okke tinggal percepat verifikasi tak kasih bintang	['aplikasi', 'udah', 'okke', 'tinggal', 'percepat', 'verifikasi', 'tak', 'kasih', 'bintang']	['aplikasi', 'sudah', 'okke', 'tinggal', 'percepat', 'verifikasi', 'tak', 'kasih', 'bintang']	['aplikasi', 'okke', 'tinggal', 'percepat', 'verifikasi', 'kasih', 'bintang']	['aplikasi', 'okke', 'tinggal', 'cepat', 'verifikasi', 'kasih', 'bintang']
"Aplikasi utk daftar bbm bersubsidi masih buruk banyak bug/error yg belum terselasaikan. Utk upload gambar via kamera tidak bisa selalu merestart ke menu awal/Home. Udh ngisi berkali2 harus ulang berkali2. Tolong segera perbaiki yah. Sudah mengisi form dengan lengkap. Tapi diakhir setelah submit. Selalu muncul text box ""sepertinya terjadi kesalahan"" sudah mencoba berkali2 di waktu yg berbeda tapi tetap gagal."	1	negatif	id	aplikasi utk daftar bbm bersubsidi masih buruk banyak bugerror yg belum terselasaikan utk upload gambar via kamera tidak bisa selalu merestart ke menu awalhome udh ngisi berkali harus ulang berkali tolong segera perbaiki yah sudah mengisi form dengan lengkap tapi diakhir setelah submit selalu muncul text box sepertinya terjadi kesalahan sudah mencoba berkali di waktu yg berbeda tapi tetap gagal	['aplikasi', 'utk', 'daftar', 'bbm', 'bersubsidi', 'masih', 'buruk', 'banyak', 'bugerror', 'yg', 'belum', 'terselasaikan', 'utk', 'upload', 'gambar', 'via', 'kamera', 'tidak', 'bisa', 'selalu', 'merestart', 'ke', 'menu', 'awalhome', 'udh', 'ngisi', 'berkali', 'harus', 'ulang', 'berkali', 'tolong', 'segera', 'perbaiki', 'yah', 'sudah', 'mengisi', 'form', 'dengan', 'lengkap', 'tapi', 'diakhir', 'setelah', 'submit', 'selalu', 'muncul', 'text', 'box', 'sepertinya', 'terjadi', 'kesalahan', 'sudah', 'mencoba', 'berkali', 'di', 'waktu', 'yg', 'berbeda', 'tapi', 'tetap', 'gagal']	['aplikasi', 'untuk', 'daftar', 'bbm', 'bersubsidi', 'masih', 'buruk', 'banyak', 'bugerror', 'yang', 'belum', 'terselasaikan', 'untuk', 'unggah', 'gambar', 'via', 'kamera', 'tidak', 'bisa', 'selalu', 'merestart', 'ke', 'menu', 'awalhome', 'sudah', 'ngisi', 'berkali', 'harus', 'ulang', 'berkali', 'tolong', 'segera', 'perbaiki', 'ya', 'sudah', 'mengisi', 'form', 'dengan', 'lengkap', 'tapi', 'diakhir', 'setelah', 'submit', 'selalu', 'muncul', 'text', 'box', 'sepertinya', 'terjadi', 'kesalahan', 'sudah', 'mencoba', 'berkali', 'di', 'waktu', 'yang', 'berbeda', 'tapi', 'tetap', 'gagal']	['aplikasi', 'daftar', 'bbm', 'bersubsidi', 'buruk', 'bugerror', 'terselasaikan', 'unggah', 'gambar', 'via', 'kamera', 'merestart', 'menu', 'awalhome', 'ngisi', 'berkali', 'ulang', 'berkali', 'tolong', 'perbaiki', 'mengisi', 'form', 'lengkap', 'diakhir', 'submit', 'muncul', 'text', 'box', 'kesalahan', 'mencoba', 'berkali', 'berbeda', 'gagal']	['aplikasi', 'daftar', 'bbm', 'subsidi', 'buruk', 'bugerror', 'terselasaikan', 'unggah', 'gambar', 'via', 'kamera', 'merestart', 'menu', 'awalhome', 'ngisi', 'kali', 'ulang', 'kali', 'tolong', 'baik', 'isi', 'form', 'lengkap', 'akhir', 'submit', 'muncul', 'text', 'box', 'salah', 'coba', 'kali', 'beda', 'gagal']
Aplikasi wajib, tapi aku tak ikhlas menginstalnya	2	negatif	id	aplikasi wajib tapi aku tak ikhlas menginstalnya	['aplikasi', 'wajib', 'tapi', 'aku', 'tak', 'ikhlas', 'menginstalnya']	['aplikasi', 'wajib', 'tapi', 'aku', 'tak', 'ikhlas', 'menginstalnya']	['aplikasi', 'wajib', 'ikhlas', 'menginstalnya']	['aplikasi', 'wajib', 'ikhlas', 'menginstalnya']
Aplikasi yang bagus	5	positif	id	aplikasi yang bagus	['aplikasi', 'yang', 'bagus']	['aplikasi', 'yang', 'bagus']	['aplikasi', 'bagus']	['aplikasi', 'bagus']
Aplikasi yang bermanfaat	5	positif	id	aplikasi yang bermanfaat	['aplikasi', 'yang', 'bermanfaat']	['aplikasi', 'yang', 'bermanfaat']	['aplikasi', 'bermanfaat']	['aplikasi', 'manfaat']
Aplikasi yang dapat membantu dan mempermudah transaksi BBM semoga ke depannya lebih baik lagi	4	positif	id	aplikasi yang dapat membantu dan mempermudah transaksi bbm semoga ke depannya lebih baik lagi	['aplikasi', 'yang', 'dapat', 'membantu', 'dan', 'mempermudah', 'transaksi', 'bbm', 'semoga', 'ke', 'depannya', 'lebih', 'baik', 'lagi']	['aplikasi', 'yang', 'dapat', 'membantu', 'dan', 'mempermudah', 'transaksi', 'bbm', 'semoga', 'ke', 'depannya', 'lebih', 'baik', 'lagi']	['aplikasi', 'membantu', 'mempermudah', 'transaksi', 'bbm', 'semoga', 'depannya']	['aplikasi', 'bantu', 'mudah', 'transaksi', 'bbm', 'moga', 'depan']
aplikasi yang mempersulit penggunanya. padahal kuota baru diisi,jaringan juga bagus, tapi pas sudah didownload aplikasinya dan mau daftar malah enggak bisa, keterangannya sistem error.	1	negatif	id	aplikasi yang mempersulit penggunanya padahal kuota baru diisijaringan juga bagus tapi pas sudah didownload aplikasinya dan mau daftar malah enggak bisa keterangannya sistem error	['aplikasi', 'yang', 'mempersulit', 'penggunanya', 'padahal', 'kuota', 'baru', 'diisijaringan', 'juga', 'bagus', 'tapi', 'pas', 'sudah', 'didownload', 'aplikasinya', 'dan', 'mau', 'daftar', 'malah', 'enggak', 'bisa', 'keterangannya', 'sistem', 'error']	['aplikasi', 'yang', 'mempersulit', 'penggunanya', 'padahal', 'kuota', 'baru', 'diisijaringan', 'juga', 'bagus', 'tapi', 'pas', 'sudah', 'didownload', 'aplikasinya', 'dan', 'mau', 'daftar', 'malah', 'enggak', 'bisa', 'keterangannya', 'sistem', 'error']	['aplikasi', 'mempersulit', 'penggunanya', 'kuota', 'diisijaringan', 'bagus', 'didownload', 'aplikasinya', 'daftar', 'keterangannya', 'sistem', 'error']	['aplikasi', 'sulit', 'guna', 'kuota', 'diisijaringan', 'bagus', 'didownload', 'aplikasi', 'daftar', 'terang', 'sistem', 'error']
Aplikasi yang sangat membantu	5	positif	id	aplikasi yang sangat membantu	['aplikasi', 'yang', 'sangat', 'membantu']	['aplikasi', 'yang', 'sangat', 'membantu']	['aplikasi', 'membantu']	['aplikasi', 'bantu']
Aplikasi yang sangat mnyulitkan rakyat indonesia raya.	2	negatif	id	aplikasi yang sangat mnyulitkan rakyat indonesia raya	['aplikasi', 'yang', 'sangat', 'mnyulitkan', 'rakyat', 'indonesia', 'raya']	['aplikasi', 'yang', 'sangat', 'mnyulitkan', 'rakyat', 'indonesia', 'raya']	['aplikasi', 'mnyulitkan', 'rakyat', 'indonesia', 'raya']	['aplikasi', 'mnyulitkan', 'rakyat', 'indonesia', 'raya']
Aplikasi Yang sangat mudah, gak perlu bawa uang Tunai pakai ini pun bisa membayar di SPBU, pelayanan menjadi lebih mudah Apalagi setiap transaksi Dapat Poinn bisa buat tukar Voucher BBM atau Voucher Makan. Mantap pokoknyaðŸ‘ðŸ‘ðŸ‘ðŸ¤­. Untuk kedepan lebih ditingkatkan lagi, untuk dompetnya lebih baik di Aplikasi nya saja jangan di Dompet LINK aja. Kadang masih terjadi Error. Selebihnya sudah Bagus, seneng banget pake Aplikasi ini Terimakasih My Pertamina. ðŸ˜˜	5	positif	id	aplikasi yang sangat mudah gak perlu bawa uang tunai pakai ini pun bisa membayar di spbu pelayanan menjadi lebih mudah apalagi setiap transaksi dapat poinn bisa buat tukar voucher bbm atau voucher makan mantap pokoknya untuk kedepan lebih ditingkatkan lagi untuk dompetnya lebih baik di aplikasi nya saja jangan di dompet link aja kadang masih terjadi error selebihnya sudah bagus seneng banget pake aplikasi ini terimakasih my pertamina 	['aplikasi', 'yang', 'sangat', 'mudah', 'gak', 'perlu', 'bawa', 'uang', 'tunai', 'pakai', 'ini', 'pun', 'bisa', 'membayar', 'di', 'spbu', 'pelayanan', 'menjadi', 'lebih', 'mudah', 'apalagi', 'setiap', 'transaksi', 'dapat', 'poinn', 'bisa', 'buat', 'tukar', 'voucher', 'bbm', 'atau', 'voucher', 'makan', 'mantap', 'pokoknya', 'untuk', 'kedepan', 'lebih', 'ditingkatkan', 'lagi', 'untuk', 'dompetnya', 'lebih', 'baik', 'di', 'aplikasi', 'nya', 'saja', 'jangan', 'di', 'dompet', 'link', 'aja', 'kadang', 'masih', 'terjadi', 'error', 'selebihnya', 'sudah', 'bagus', 'seneng', 'banget', 'pake', 'aplikasi', 'ini', 'terimakasih', 'my', 'pertamina', '']	['aplikasi', 'yang', 'sangat', 'mudah', 'enggak', 'perlu', 'bawa', 'uang', 'tunai', 'pakai', 'ini', 'pun', 'bisa', 'membayar', 'di', 'spbu', 'pelayanan', 'menjadi', 'lebih', 'mudah', 'apalagi', 'setiap', 'transaksi', 'dapat', 'poinn', 'bisa', 'buat', 'tukar', 'voucher', 'bbm', 'atau', 'voucher', 'makan', 'mantap', 'pokoknya', 'untuk', 'kedepan', 'lebih', 'ditingkatkan', 'lagi', 'untuk', 'dompetnya', 'lebih', 'baik', 'di', 'aplikasi', 'nya', 'saja', 'jangan', 'di', 'dompet', 'link', 'saja', 'kadang', 'masih', 'terjadi', 'error', 'selebihnya', 'sudah', 'bagus', 'senang', 'banget', 'pakai', 'aplikasi', 'ini', 'terimakasih', 'my', 'pertamina', '']	['aplikasi', 'mudah', 'bawa', 'uang', 'tunai', 'pakai', 'membayar', 'spbu', 'pelayanan', 'mudah', 'transaksi', 'poinn', 'tukar', 'voucher', 'bbm', 'voucher', 'makan', 'mantap', 'pokoknya', 'kedepan', 'ditingkatkan', 'dompetnya', 'aplikasi', 'dompet', 'link', 'kadang', 'error', 'selebihnya', 'bagus', 'senang', 'banget', 'pakai', 'aplikasi', 'terimakasih', 'my', 'pertamina', '']	['aplikasi', 'mudah', 'bawa', 'uang', 'tunai', 'pakai', 'bayar', 'spbu', 'layan', 'mudah', 'transaksi', 'poinn', 'tukar', 'voucher', 'bbm', 'voucher', 'makan', 'mantap', 'pokok', 'depan', 'tingkat', 'dompet', 'aplikasi', 'dompet', 'link', 'kadang', 'error', 'lebih', 'bagus', 'senang', 'banget', 'pakai', 'aplikasi', 'terimakasih', 'my', 'pertamina', '']
Aplikasi yang sangat sulit ....dan sudah digunakan....	2	negatif	id	aplikasi yang sangat sulit dan sudah digunakan	['aplikasi', 'yang', 'sangat', 'sulit', 'dan', 'sudah', 'digunakan']	['aplikasi', 'yang', 'sangat', 'sulit', 'dan', 'sudah', 'digunakan']	['aplikasi', 'sulit']	['aplikasi', 'sulit']
Aplikasi yg bikin ribet rakyat	1	negatif	id	aplikasi yg bikin ribet rakyat	['aplikasi', 'yg', 'bikin', 'ribet', 'rakyat']	['aplikasi', 'yang', 'bikin', 'ribet', 'rakyat']	['aplikasi', 'ribet', 'rakyat']	['aplikasi', 'ribet', 'rakyat']
Aplikasi yg buat ribet	1	negatif	id	aplikasi yg buat ribet	['aplikasi', 'yg', 'buat', 'ribet']	['aplikasi', 'yang', 'buat', 'ribet']	['aplikasi', 'ribet']	['aplikasi', 'ribet']
Aplikasi yg cukup menyusahkan, banyak bug di bagian otp, untuk pembayaran msh blm flexible cuma bisa pke link aja, cukup meribetkan pengendara karena tidak semua punya handphone dan semua bisa pake aplikasi ini, blm lagi kalau kuota habis/hpnya lemot jadi kurang efektif ketika terjadi antre panjang, kurangnya sosialisasi sehingga masyarakat blm siap untuk menerima kebijakan ini.	1	negatif	id	aplikasi yg cukup menyusahkan banyak bug di bagian otp untuk pembayaran msh blm flexible cuma bisa pke link aja cukup meribetkan pengendara karena tidak semua punya handphone dan semua bisa pake aplikasi ini blm lagi kalau kuota habishpnya lemot jadi kurang efektif ketika terjadi antre panjang kurangnya sosialisasi sehingga masyarakat blm siap untuk menerima kebijakan ini	['aplikasi', 'yg', 'cukup', 'menyusahkan', 'banyak', 'bug', 'di', 'bagian', 'otp', 'untuk', 'pembayaran', 'msh', 'blm', 'flexible', 'cuma', 'bisa', 'pke', 'link', 'aja', 'cukup', 'meribetkan', 'pengendara', 'karena', 'tidak', 'semua', 'punya', 'handphone', 'dan', 'semua', 'bisa', 'pake', 'aplikasi', 'ini', 'blm', 'lagi', 'kalau', 'kuota', 'habishpnya', 'lemot', 'jadi', 'kurang', 'efektif', 'ketika', 'terjadi', 'antre', 'panjang', 'kurangnya', 'sosialisasi', 'sehingga', 'masyarakat', 'blm', 'siap', 'untuk', 'menerima', 'kebijakan', 'ini']	['aplikasi', 'yang', 'cukup', 'menyusahkan', 'banyak', 'bug', 'di', 'bagian', 'otp', 'untuk', 'pembayaran', 'masih', 'belum', 'flexible', 'cuma', 'bisa', 'pakai', 'link', 'saja', 'cukup', 'meribetkan', 'pengendara', 'karena', 'tidak', 'semua', 'punya', 'handphone', 'dan', 'semua', 'bisa', 'pakai', 'aplikasi', 'ini', 'belum', 'lagi', 'kalau', 'kuota', 'habishpnya', 'lambat', 'jadi', 'kurang', 'efektif', 'ketika', 'terjadi', 'antre', 'panjang', 'kurangnya', 'sosialisasi', 'sehingga', 'masyarakat', 'belum', 'siap', 'untuk', 'menerima', 'kebijakan', 'ini']	['aplikasi', 'menyusahkan', 'bug', 'otp', 'pembayaran', 'flexible', 'pakai', 'link', 'meribetkan', 'pengendara', 'handphone', 'pakai', 'aplikasi', 'kuota', 'habishpnya', 'lambat', 'efektif', 'antre', 'kurangnya', 'sosialisasi', 'masyarakat', 'menerima', 'kebijakan']	['aplikasi', 'susah', 'bug', 'otp', 'bayar', 'flexible', 'pakai', 'link', 'meribetkan', 'kendara', 'handphone', 'pakai', 'aplikasi', 'kuota', 'habishpnya', 'lambat', 'efektif', 'antre', 'kurang', 'sosialisasi', 'masyarakat', 'terima', 'bijak']
Aplikasi yg membebani masyarakat...	1	negatif	id	aplikasi yg membebani masyarakat	['aplikasi', 'yg', 'membebani', 'masyarakat']	['aplikasi', 'yang', 'membebani', 'masyarakat']	['aplikasi', 'membebani', 'masyarakat']	['aplikasi', 'beban', 'masyarakat']
Aplikasi yg menyenangkan	5	positif	id	aplikasi yg menyenangkan	['aplikasi', 'yg', 'menyenangkan']	['aplikasi', 'yang', 'menyenangkan']	['aplikasi', 'menyenangkan']	['aplikasi', 'senang']
Aplikasi yg menyusahkan rakyat Indonesia	1	negatif	id	aplikasi yg menyusahkan rakyat indonesia	['aplikasi', 'yg', 'menyusahkan', 'rakyat', 'indonesia']	['aplikasi', 'yang', 'menyusahkan', 'rakyat', 'indonesia']	['aplikasi', 'menyusahkan', 'rakyat', 'indonesia']	['aplikasi', 'susah', 'rakyat', 'indonesia']
Aplikasi yg merugikan.. Saat saya isi bbm menggunakan mypertamina saldo kepotong otomatis tp bukti transaksi dan bbm tidak keluar.. Harus transaksi sekali lg harus bayar pakai tunai.. Masa jd bayar 2 kali... Tolong di perbaiki aplikasinya...	1	negatif	id	aplikasi yg merugikan saat saya isi bbm menggunakan mypertamina saldo kepotong otomatis tp bukti transaksi dan bbm tidak keluar harus transaksi sekali lg harus bayar pakai tunai masa jd bayar kali tolong di perbaiki aplikasinya	['aplikasi', 'yg', 'merugikan', 'saat', 'saya', 'isi', 'bbm', 'menggunakan', 'mypertamina', 'saldo', 'kepotong', 'otomatis', 'tp', 'bukti', 'transaksi', 'dan', 'bbm', 'tidak', 'keluar', 'harus', 'transaksi', 'sekali', 'lg', 'harus', 'bayar', 'pakai', 'tunai', 'masa', 'jd', 'bayar', 'kali', 'tolong', 'di', 'perbaiki', 'aplikasinya']	['aplikasi', 'yang', 'merugikan', 'saat', 'saya', 'isi', 'bbm', 'menggunakan', 'mypertamina', 'saldo', 'kepotong', 'otomatis', 'tapi', 'bukti', 'transaksi', 'dan', 'bbm', 'tidak', 'keluar', 'harus', 'transaksi', 'sekali', 'lagi', 'harus', 'bayar', 'pakai', 'tunai', 'masa', 'jadi', 'bayar', 'kali', 'tolong', 'di', 'perbaiki', 'aplikasinya']	['aplikasi', 'merugikan', 'isi', 'bbm', 'mypertamina', 'saldo', 'kepotong', 'otomatis', 'bukti', 'transaksi', 'bbm', 'transaksi', 'bayar', 'pakai', 'tunai', 'bayar', 'kali', 'tolong', 'perbaiki', 'aplikasinya']	['aplikasi', 'rugi', 'isi', 'bbm', 'mypertamina', 'saldo', 'potong', 'otomatis', 'bukti', 'transaksi', 'bbm', 'transaksi', 'bayar', 'pakai', 'tunai', 'bayar', 'kali', 'tolong', 'baik', 'aplikasi']
Aplikasi yg penting bagi masyarakat Indonesia	4	positif	id	aplikasi yg penting bagi masyarakat indonesia	['aplikasi', 'yg', 'penting', 'bagi', 'masyarakat', 'indonesia']	['aplikasi', 'yang', 'penting', 'bagi', 'masyarakat', 'indonesia']	['aplikasi', 'masyarakat', 'indonesia']	['aplikasi', 'masyarakat', 'indonesia']
Aplikasi yg sangat berguna sekali	5	positif	id	aplikasi yg sangat berguna sekali	['aplikasi', 'yg', 'sangat', 'berguna', 'sekali']	['aplikasi', 'yang', 'sangat', 'berguna', 'sekali']	['aplikasi', 'berguna']	['aplikasi', 'guna']
Aplikasiny blm di pakai suruh upd trs...datany kesedot trs bos	2	negatif	id	aplikasiny blm di pakai suruh upd trsdatany kesedot trs bos	['aplikasiny', 'blm', 'di', 'pakai', 'suruh', 'upd', 'trsdatany', 'kesedot', 'trs', 'bos']	['aplikasiny', 'belum', 'di', 'pakai', 'suruh', 'upd', 'trsdatany', 'kesedot', 'terus', 'bos']	['aplikasiny', 'pakai', 'suruh', 'upd', 'trsdatany', 'kesedot', 'bos']	['aplikasiny', 'pakai', 'suruh', 'upd', 'trsdatany', 'sedot', 'bos']
Aplikasinya bagus	5	positif	id	aplikasinya bagus	['aplikasinya', 'bagus']	['aplikasinya', 'bagus']	['aplikasinya', 'bagus']	['aplikasi', 'bagus']
Aplikasinya bagus dan sangat membantu dan ada potongan harga nya juga ðŸ‘ðŸ‘	4	positif	id	aplikasinya bagus dan sangat membantu dan ada potongan harga nya juga 	['aplikasinya', 'bagus', 'dan', 'sangat', 'membantu', 'dan', 'ada', 'potongan', 'harga', 'nya', 'juga', '']	['aplikasinya', 'bagus', 'dan', 'sangat', 'membantu', 'dan', 'ada', 'potongan', 'harga', 'nya', 'juga', '']	['aplikasinya', 'bagus', 'membantu', 'potongan', 'harga', '']	['aplikasi', 'bagus', 'bantu', 'potong', 'harga', '']
Aplikasinya bagus, apalagi bisa membantu memudahkan pembayarannya. Ini bisa dibilang efektif untuk metode pembayaran di zaman sekarang ini yang serba digital. Mantap lah pokoknya	5	positif	id	aplikasinya bagus apalagi bisa membantu memudahkan pembayarannya ini bisa dibilang efektif untuk metode pembayaran di zaman sekarang ini yang serba digital mantap lah pokoknya	['aplikasinya', 'bagus', 'apalagi', 'bisa', 'membantu', 'memudahkan', 'pembayarannya', 'ini', 'bisa', 'dibilang', 'efektif', 'untuk', 'metode', 'pembayaran', 'di', 'zaman', 'sekarang', 'ini', 'yang', 'serba', 'digital', 'mantap', 'lah', 'pokoknya']	['aplikasinya', 'bagus', 'apalagi', 'bisa', 'membantu', 'memudahkan', 'pembayarannya', 'ini', 'bisa', 'dibilang', 'efektif', 'untuk', 'metode', 'pembayaran', 'di', 'zaman', 'sekarang', 'ini', 'yang', 'serba', 'digital', 'mantap', 'lah', 'pokoknya']	['aplikasinya', 'bagus', 'membantu', 'memudahkan', 'pembayarannya', 'dibilang', 'efektif', 'metode', 'pembayaran', 'zaman', 'serba', 'digital', 'mantap', 'pokoknya']	['aplikasi', 'bagus', 'bantu', 'mudah', 'bayar', 'bilang', 'efektif', 'metode', 'bayar', 'zaman', 'serba', 'digital', 'mantap', 'pokok']
Aplikasinya bagus. Namun sayang, di kebanyakan pom bensin daerah bogor dan jakarta sering mengalami gangguan / offline. Lain dengan pom bensin daerah Bandung, selalu berfungsi dengan baik.	4	positif	id	aplikasinya bagus namun sayang di kebanyakan pom bensin daerah bogor dan jakarta sering mengalami gangguan offline lain dengan pom bensin daerah bandung selalu berfungsi dengan baik	['aplikasinya', 'bagus', 'namun', 'sayang', 'di', 'kebanyakan', 'pom', 'bensin', 'daerah', 'bogor', 'dan', 'jakarta', 'sering', 'mengalami', 'gangguan', 'offline', 'lain', 'dengan', 'pom', 'bensin', 'daerah', 'bandung', 'selalu', 'berfungsi', 'dengan', 'baik']	['aplikasinya', 'bagus', 'namun', 'sayang', 'di', 'kebanyakan', 'pom', 'bensin', 'daerah', 'bogor', 'dan', 'jakarta', 'sering', 'mengalami', 'gangguan', 'offline', 'lain', 'dengan', 'pom', 'bensin', 'daerah', 'bandung', 'selalu', 'berfungsi', 'dengan', 'baik']	['aplikasinya', 'bagus', 'sayang', 'kebanyakan', 'pom', 'bensin', 'daerah', 'bogor', 'jakarta', 'mengalami', 'gangguan', 'offline', 'pom', 'bensin', 'daerah', 'bandung', 'berfungsi']	['aplikasi', 'bagus', 'sayang', 'banyak', 'pom', 'bensin', 'daerah', 'bogor', 'jakarta', 'alami', 'ganggu', 'offline', 'pom', 'bensin', 'daerah', 'bandung', 'fungsi']
Aplikasinya cukup membantu	4	positif	id	aplikasinya cukup membantu	['aplikasinya', 'cukup', 'membantu']	['aplikasinya', 'cukup', 'membantu']	['aplikasinya', 'membantu']	['aplikasi', 'bantu']
Aplikasinya gak bisa di buka, percuma saya download ðŸ˜ 	2	negatif	id	aplikasinya gak bisa di buka percuma saya download 	['aplikasinya', 'gak', 'bisa', 'di', 'buka', 'percuma', 'saya', 'download', '']	['aplikasinya', 'enggak', 'bisa', 'di', 'buka', 'percuma', 'saya', 'download', '']	['aplikasinya', 'buka', 'download', '']	['aplikasi', 'buka', 'download', '']
Aplikasinya jelek, suka eror dan terlalu panjang pengisian data, setiap mengunggah foto selalu gagal dan sering log out dengan sendirinya, bukannya mempermudah tp mempersulit, sistem pembayarannya tdk pleksible hanya 1 satu saja dan hrs donwload lagi aplikasi bikin memory penuh, sepertix ini aplikasi belum siap hanya menyusahkan pengguna.	1	negatif	id	aplikasinya jelek suka eror dan terlalu panjang pengisian data setiap mengunggah foto selalu gagal dan sering log out dengan sendirinya bukannya mempermudah tp mempersulit sistem pembayarannya tdk pleksible hanya satu saja dan hrs donwload lagi aplikasi bikin memory penuh sepertix ini aplikasi belum siap hanya menyusahkan pengguna	['aplikasinya', 'jelek', 'suka', 'eror', 'dan', 'terlalu', 'panjang', 'pengisian', 'data', 'setiap', 'mengunggah', 'foto', 'selalu', 'gagal', 'dan', 'sering', 'log', 'out', 'dengan', 'sendirinya', 'bukannya', 'mempermudah', 'tp', 'mempersulit', 'sistem', 'pembayarannya', 'tdk', 'pleksible', 'hanya', 'satu', 'saja', 'dan', 'hrs', 'donwload', 'lagi', 'aplikasi', 'bikin', 'memory', 'penuh', 'sepertix', 'ini', 'aplikasi', 'belum', 'siap', 'hanya', 'menyusahkan', 'pengguna']	['aplikasinya', 'jelek', 'suka', 'eror', 'dan', 'terlalu', 'panjang', 'pengisian', 'data', 'setiap', 'mengunggah', 'foto', 'selalu', 'gagal', 'dan', 'sering', 'log', 'out', 'dengan', 'sendirinya', 'bukannya', 'mempermudah', 'tapi', 'mempersulit', 'sistem', 'pembayarannya', 'tidak', 'pleksible', 'hanya', 'satu', 'saja', 'dan', 'harus', 'donwload', 'lagi', 'aplikasi', 'bikin', 'memory', 'penuh', 'sepertix', 'ini', 'aplikasi', 'belum', 'siap', 'hanya', 'menyusahkan', 'pengguna']	['aplikasinya', 'jelek', 'suka', 'eror', 'pengisian', 'data', 'mengunggah', 'foto', 'gagal', 'log', 'out', 'mempermudah', 'mempersulit', 'sistem', 'pembayarannya', 'pleksible', 'donwload', 'aplikasi', 'memory', 'penuh', 'sepertix', 'aplikasi', 'menyusahkan', 'pengguna']	['aplikasi', 'jelek', 'suka', 'eror', 'isi', 'data', 'unggah', 'foto', 'gagal', 'log', 'out', 'mudah', 'sulit', 'sistem', 'bayar', 'pleksible', 'donwload', 'aplikasi', 'memory', 'penuh', 'sepertix', 'aplikasi', 'susah', 'guna']
Aplikasinya ke logout Mulu.	2	negatif	id	aplikasinya ke logout mulu	['aplikasinya', 'ke', 'logout', 'mulu']	['aplikasinya', 'ke', 'logout', 'mulu']	['aplikasinya', 'logout', 'mulu']	['aplikasi', 'logout', 'mulu']
Aplikasinya lemot	2	negatif	id	aplikasinya lemot	['aplikasinya', 'lemot']	['aplikasinya', 'lambat']	['aplikasinya', 'lambat']	['aplikasi', 'lambat']
Aplikasinya membantu. Setiap transaksi kita bisa dapetin poin yang nantinya bisa di tuker voucher. Pembayaran juga jadi gampang dan sangat membantu buat orang orang yang lebih suka cashless. Mantap pokoknyaa	5	positif	id	aplikasinya membantu setiap transaksi kita bisa dapetin poin yang nantinya bisa di tuker voucher pembayaran juga jadi gampang dan sangat membantu buat orang orang yang lebih suka cashless mantap pokoknyaa	['aplikasinya', 'membantu', 'setiap', 'transaksi', 'kita', 'bisa', 'dapetin', 'poin', 'yang', 'nantinya', 'bisa', 'di', 'tuker', 'voucher', 'pembayaran', 'juga', 'jadi', 'gampang', 'dan', 'sangat', 'membantu', 'buat', 'orang', 'orang', 'yang', 'lebih', 'suka', 'cashless', 'mantap', 'pokoknyaa']	['aplikasinya', 'membantu', 'setiap', 'transaksi', 'kita', 'bisa', 'mendapati', 'poin', 'yang', 'nantinya', 'bisa', 'di', 'tuker', 'voucher', 'pembayaran', 'juga', 'jadi', 'gampang', 'dan', 'sangat', 'membantu', 'buat', 'orang', 'orang', 'yang', 'lebih', 'suka', 'cashless', 'mantap', 'pokoknyaa']	['aplikasinya', 'membantu', 'transaksi', 'mendapati', 'poin', 'tuker', 'voucher', 'pembayaran', 'gampang', 'membantu', 'orang', 'orang', 'suka', 'cashless', 'mantap', 'pokoknyaa']	['aplikasi', 'bantu', 'transaksi', 'dapat', 'poin', 'tuker', 'voucher', 'bayar', 'gampang', 'bantu', 'orang', 'orang', 'suka', 'cashless', 'mantap', 'pokoknyaa']
Aplikasinya sangat kereeeennnn	5	positif	id	aplikasinya sangat kereeeennnn	['aplikasinya', 'sangat', 'kereeeennnn']	['aplikasinya', 'sangat', 'kereeeennnn']	['aplikasinya', 'kereeeennnn']	['aplikasi', 'kereeeennnn']
Aplikasinya sangat membantu	5	positif	id	aplikasinya sangat membantu	['aplikasinya', 'sangat', 'membantu']	['aplikasinya', 'sangat', 'membantu']	['aplikasinya', 'membantu']	['aplikasi', 'bantu']
